id,parent_id,name,is_header,category_type,created_at,updated_at,is_active,is_delete,status,commission_rate,desi,order_no,thumbnail,cdn_thumbnail,migration_id,url_slug
4,0,Tedavi Ürünleri,1,1,2022-12-29 03:25:06,2023-02-16 22:07:36,1,0,100,16,1,2,https://dental-public-images.s3.amazonaws.com/categories/14fb3586-efcd-4e05-b635-a93e30fa0c4f.jpeg,,4,tedavi-urunleri
5,0,Restoratif,1,1,2022-12-29 03:25:06,2023-02-16 22:09:54,0,1,100,16,1,1,https://dental-public-images.s3.amazonaws.com/categories/d8b32c7f-13e6-4982-9b60-a4b71468c906.jpeg,,5,restoratif
6,0,Protez,1,1,2022-12-29 03:25:06,2023-02-16 22:26:23,1,0,100,16,3,3,https://dental-public-images.s3.amazonaws.com/categories/15f2ba94-92b3-4ca1-ada4-2c4b6a362691.jpeg,,6,protez
7,0,Cerrahi,1,1,2022-12-29 03:25:06,2023-02-16 22:30:07,1,0,100,16,1,4,https://dental-public-images.s3.amazonaws.com/categories/16b846a8-0621-4a60-88a6-a03db73552cf.jpeg,,7,cerrahi
8,0,Ortodonti & Pedodonti,1,1,2022-12-29 03:25:06,2023-02-16 22:49:58,1,0,100,16,0.2,5,https://dental-public-images.s3.amazonaws.com/categories/569501fc-9e44-4fa7-bbcd-53307297d1b0.jpeg,,8,ortodonti-pedodonti
9,13,Periodontoloji,1,1,2022-12-29 03:25:06,2023-02-16 22:52:57,1,0,100,16,0.2,1,https://dental-public-images.s3.amazonaws.com/categories/a3da87c2-6b29-4637-be1d-2bb071bafccb.jpeg,,9,periodontoloji
10,0,El Aletleri,0,0,2022-12-29 03:25:06,2023-02-02 17:43:50,0,1,100,16,0.2,1,https://dental-public-images.s3.amazonaws.com/categories/944d271d-f97d-4f5e-a7ba-bccde3c67a02.png,,10,el-aletleri
11,328,Aeratör & Angludurva & Piyasamen,0,0,2022-12-29 03:25:06,2023-02-02 17:41:42,0,1,100,16,0.33,1,https://dental-public-images.s3.amazonaws.com/categories/2d6cc6e4-2b4a-4585-85c8-28c71a538a2a.png,,11,aerator-angludurva-piyasamen
12,0,Laboratuvar Ürünleri,1,1,2022-12-29 03:25:06,2023-05-01 15:21:41,1,0,100,16,5,9,https://dental-public-images.s3.amazonaws.com/categories/970de82f-62ca-4750-bc00-e7e89befe665.png,,12,laboratuvar-urunleri
13,0,Klinik Cihazlar,1,1,2022-12-29 03:25:06,2023-02-02 20:35:22,1,0,100,11,30,8,https://dental-public-images.s3.amazonaws.com/categories/0d5eead3-f531-47bc-b5f3-066625232ca9.png,,13,klinik-cihazlar
14,315,Dezenfektanlar,0,0,2022-12-29 03:25:06,2023-05-01 15:49:52,1,0,100,16,5,2,https://dental-public-images.s3.amazonaws.com/categories/75b705e2-c5d1-4219-85e1-7fc742050d6e.png,,14,dezenfektanlar
15,315,X-Ray Malzemeleri,0,0,2022-12-29 03:25:06,2023-05-01 15:50:03,1,0,100,16,2,3,https://dental-public-images.s3.amazonaws.com/categories/01dd41c6-251d-45c3-9ec9-723bfec90ffa.png,,15,x-ray-malzemeleri
16,315,Tek Kullanımlık Ürünler,0,0,2022-12-29 03:25:06,2023-02-02 17:53:34,1,0,100,16,5,1,https://dental-public-images.s3.amazonaws.com/categories/1ebe6e60-c69b-48f5-81eb-4a897490b5cc.png,,16,tek-kullanimlik-urunler
17,336,Dolap & Sehpalar,0,0,2022-12-29 03:25:06,2023-02-02 17:54:43,1,0,100,11,10,1,https://dental-public-images.s3.amazonaws.com/categories/fa58033e-9a00-4504-84fb-0669f0a9ccf5.png,,17,dolap-sehpalar
18,336,Seminer & Kurs,0,0,2022-12-29 03:25:06,2023-02-02 20:33:14,1,0,100,16,0,1,https://dental-public-images.s3.amazonaws.com/categories/27f88070-4652-49a7-8396-501f72bc6a8e.png,,18,seminer-kurs
19,336,Dental Giyim,0,0,2022-12-29 03:25:06,2023-02-02 20:29:45,1,0,100,16,3,1,https://dental-public-images.s3.amazonaws.com/categories/a0f9120a-f097-4637-b214-a87322029a39.png,,19,dental-giyim
20,0,Kampanyalı Ürünler,0,0,2022-12-29 03:25:06,2022-12-29 03:25:06,0,1,100,16,1,1,https://dummyimage.com/50x50/fff/000&text=Kampanyalı Ürünler,,20,kampanyali-urunler
21,6,Cad Cam Malzemeleri,0,0,2022-12-29 03:25:06,2023-05-01 16:03:51,1,0,100,16,0.03,6,https://dental-public-images.s3.amazonaws.com/categories/3d45bddc-425a-404c-b256-d74e18712735.png,,21,cad-cam-malzemeleri
22,0,Frezler,1,1,2022-12-29 03:25:06,2023-02-16 22:58:54,1,0,100,16,0.01,6,https://dental-public-images.s3.amazonaws.com/categories/23093170-8385-4486-a1c1-022a83bd3480.jpeg,,22,frezler
23,0,Beyazlatma Ürünleri,1,1,2022-12-29 03:25:06,2023-02-16 23:02:05,1,0,100,16,1,7,https://dental-public-images.s3.amazonaws.com/categories/33ac83fd-b09e-4814-9634-3d39f43c4dbb.jpeg,,23,beyazlatma-urunleri
24,0,Yardımcı Malzemeler,0,0,2022-12-29 03:25:06,2023-02-16 23:05:38,0,1,100,16,0.5,1,https://dental-public-images.s3.amazonaws.com/categories/dbf8250d-8362-4f56-895d-257d9bd9bedc.jpeg,,24,yardimci-malzemeler
25,8,Pedodonti,0,1,2022-12-29 03:25:06,2023-05-01 16:08:39,1,0,100,16,0.5,6,https://dental-public-images.s3.amazonaws.com/categories/ef52f4a6-4c16-4218-b5a3-b181ae95e8bb.png,,25,pedodonti
26,336,Kitap,0,0,2022-12-29 03:25:06,2023-09-18 08:02:36,1,0,100,16,4,1,https://dental-public-images.s3.amazonaws.com/categories/b63c2f8d-7457-4077-94e9-eedcb01f43cc.jpeg,,26,kitap
27,321,Paper Points,0,0,2022-12-29 03:25:06,2023-01-29 16:18:42,1,0,100,16,0.03,1,https://dummyimage.com/50x50/fff/000&text=Paper Points,,27,paper-points
28,321,Gutta Perchas,0,0,2022-12-29 03:25:06,2023-01-29 16:19:44,1,0,100,16,0.03,1,https://dummyimage.com/50x50/fff/000&text=Gutta Perchas,,28,gutta-perchas
29,4,Kanal Eğeleri,0,0,2022-12-29 03:25:06,2023-05-01 15:52:51,1,0,100,16,0.03,5,https://dummyimage.com/50x50/fff/000&text=Kanal Eğeleri,,29,kanal-egeleri
30,29,Tirnef,0,0,2022-12-29 03:25:06,2022-12-29 03:25:06,1,0,100,16,0.03,1,https://dummyimage.com/50x50/fff/000&text=Tirnef,,30,tirnef
31,29,Lentilo,0,0,2022-12-29 03:25:06,2022-12-29 03:25:06,1,0,100,16,0.03,1,https://dummyimage.com/50x50/fff/000&text=Lentilo,,31,lentilo
32,4,Bond Sistemleri,0,0,2022-12-29 03:25:06,2023-05-01 15:53:58,1,0,100,16,0.05,2,https://dummyimage.com/50x50/fff/000&text=Bonding Ajanları,,32,bond-sistemleri
33,6,Simanlar,0,0,2022-12-29 03:25:06,2023-05-01 16:02:14,1,0,100,16,0.2,3,https://dummyimage.com/50x50/fff/000&text=Simanlar,,33,simanlar
34,4,Kompozit,0,0,2022-12-29 03:25:06,2022-12-29 03:25:06,1,0,100,16,0.05,1,https://dummyimage.com/50x50/fff/000&text=Kompozitler,,34,kompozit
